id,name,category,hasImg,title,artist
0,7DC0pE943VR5tAKIvQXHts,0,1,Figure 8,Elliott Smith
1,2L0WppY6HRio0NeNTn4II5,0,1,The Greatest,Ian Brown
2,3o0yqWz9EsyBSmMFiq6lwl,0,1,Turn On The Bright Lights,Interpol
3,1JwNkP21fzAFqLLQmVswi6,0,1,Spider Bags,Spider Bags
4,417GbmvKMFT0pUrJIKFPth,0,1,I Told You I Was Freaky,Flight of the Conchords
5,2lzS0Mb1A7ndVfiY5TgTmV,0,1,Runners In The Nerved World,The Sidekicks
6,0t0Cr8jA63wlm8nWj7qfvJ,0,1,Speak for Yourself,Imogen Heap
7,7MSKLgs6zBCV2Uhp3MZmVV,0,1,James Blake,James Blake
8,2F87Q7vtospAvXEupDXlr8,0,1,Beachcomber's Windowsill,Stornoway
9,3I3uK5mo0uvj4TnSCxS2zk,0,1,Historicity,Vijay Iyer Trio
10,3zmol8BOlAXIhiZQNMFVXH,0,1,Males,The Intelligence
11,2XQ8fFk9sVraxiaxs14IRG,0,1,Forever Becoming,Pelican
12,3Jo6AKd469tCcVBb6g5Hs6,0,1,Heat Lightning Rumbles In The Distance,Patterson Hood
13,6MbNZO1SlldY6ZoqxAoHmB,0,1,Complete Surrender,Slow Club
14,3FfW96Pt3UxQlchDVhkaFi,0,1,A Sufi And A Killer,Gonjasufi
15,0lhL6QP2VzLgNI4GjQAK1I,0,1,Birthmarks,Born Ruffians
16,68aZtDbgNargCMYgNvw5JG,0,1,Neō Wax Bloom,Iglooghost
17,1PPXfny6bTg4AwboeIBT5h,0,1,Love Remains,How To Dress Well
18,4CzNl4NEKjGi0aGdVOShfo,0,1,London Sessions,LCD Soundsystem
19,3Y0PlatQDMqHJh5aVCe7Q4,0,1,"Träd, Gräs och Stenar",Träd Gräs Och Stenar
20,6JNPHPomTtS1DaDCr9Gr72,0,1,North,Elvis Costello
21,01aoYWjhjshlHf5vJNYb03,0,1,Train,Train
22,0xslWXhRXD9yYL8ZV5n41r,0,1,Dark Bird Is Home,The Tallest Man On Earth
23,2uclNJi4AKOW03S27F3lGQ,0,1,Walk The River,Guillemots
24,6jxOUKzAjQKdxnLQ3aBRiJ,0,1,Inside of Emptiness,John Frusciante
25,6pEJdSFTJQIqE5k7dLn3PW,0,1,Growing Seeds,Lust For Youth
26,0antgp6pTvJPH6KvG5eEJg,0,1,Black Noise,Pantha Du Prince
27,4eKHTftlZevdUpXW7SFqJb,0,1,In a nutshell,Pelle Carlberg
28,0LhtsJClfRQuDKD59iHrW4,0,1,Memoirs At The End Of The World,The Postmarks
29,5evArWgt3lYByavFqzbo5x,0,1,Moonlight (Original Motion Picture Soundtrack),Nicholas Britell
30,6BLHRdZzsyz2IZVW6kYWJ7,0,1,Hour of the Dawn,La Sera
31,4TAEAcuqfrU87gVTO6LoCP,0,1,Unfun,Jawbreaker
32,3dARFB98TMzKLHwZOgKZhE,0,1,Helioscope,Vessels
33,6dnAvpFf6ogiFmB7vw7aqt,0,1,I Want to Grow Up,Colleen Green
34,1a1vDIw0P3udDDN6t140zv,0,1,"Work (Work, Work)",HTRK
35,3rF2fqE91FtfTsbWuNNUMV,0,1,You May Already Be Dreaming,Neva Dinova
36,44eTydeE3XyPe0gsTpAeF7,0,1,Around the Well,Iron & Wine
37,3KRz7bMVFxTEhsXsYQgJit,0,1,Key,"Son, Ambulance"
38,3xmoreNKcN0AL1GUt2X8Qq,0,1,Big Men Cry,Banco De Gaia
39,4xyBPWE2F4qRIUPeZAZUYm,0,1,A Pre-existing Condition,David Dondero
40,6aSk2vxoY3xtz7cXKuY9EL,0,1,LCD Soundsystem,LCD Soundsystem
41,6qz1hWYLCvUoDCdur4UzDF,0,1,Cease To Begin,Band of Horses
42,1Ck3jqUZRRGKxO7F84EEPE,0,1,Magic neighbor,Lisa Germano
43,5tc42hA9AU5HXR7FRR03UJ,0,1,Presidence,Excepter
44,6MaUJWhC6jQJL84AH1MNWy,0,1,The Dirty South,Drive-By Truckers
45,6S70xaX2K8PusN8DlBwnsQ,0,1,Need New Body,need new body
46,4IH4X1p5E6WjigQdS1Z5B6,0,1,The Spits,The Spits
47,6gcXFY9NMXkvtgoifms7eh,0,1,(A)SPERA,Mirah
48,2fxOZi4VkImgPWuf6my6nR,0,1,Sorry I Make You Lush,Wagon Christ
49,32Ma3r8xwPQuhkLpMcAcAe,0,1,Modern Jester,Aaron Dilloway
50,4dIPUQHheyH9e6ioplvNT2,0,1,Bottomless Pit,Death Grips
51,5BSpcM1K4e2B6GKtkskpz7,0,1,11,Supersilent
52,6vW9ZDllNv87WHXS3XTjlM,0,1,Permission To Land,The Darkness
53,0l3wIcZYNExllLI8M67qg4,0,1,The Martyrdom of a Catastrophist,Junius
54,58BW1m66Obo0WxA6j8GiX3,0,1,The Unsustainable Lifestyle,Beauty Pill
55,0T3cIsmQPXydLSUMc7fLTk,0,1,Hawaiki Tapes,M. Geddes Gengras
56,6TqFe1KFG3NdofscJrSPc4,0,1,Wolfmother,Wolfmother
57,4Sv6KnQThDWkSeMiaQbT8o,0,1,Zoot Woman,Zoot Woman
58,5cm51rdS0RSbMAmI8TbQu9,0,1,Lost Themes,John Carpenter
59,4v0UK3Fy1abXaN5wakYJgC,0,1,Resuscitation,ADULT.
60,0gGjpcrkBZ1uZyPWGen7Tl,0,1,Laughter Fills Our Hollow Dome,The Impossible Shapes
61,1ER9ZR5F6H1zBGuv1xaneO,0,1,Aleamapper,Richard Devine
62,24BgDWfuAya11qY1QPoHAB,0,1,The Meat Of Life,Clem Snide
63,3u38Zm1pGlCrGZSsUk2396,0,1,Emma Jean,Lee Fields & The Expressions
