idx,term_id,term,relevance,x,y,z
0,4143,thriller,-6.082300186157227,12.117342788585349,4.048524836843504,16.20936046036031
1,688,story,-6.414700031280518,11.959616179391166,4.118807158652337,16.685219276003977
2,1991,part,-6.448699951171875,10.991235473035102,4.08249481923195,14.136460601387753
3,753,black,-6.462900161743164,11.154227135091922,4.012964953253618,15.491963955261703
4,8241,actor,-6.606900215148926,11.906187369228158,4.147988751164347,15.540689354930059
5,175,pretty,-6.616700172424316,11.341679388539061,4.051864572056291,14.754141537391872
6,1083,theme,-6.626399993896484,9.998999100093085,3.6729310516134257,12.311528453870938
7,583,interesting,-6.642300128936768,9.66653494613315,4.5258825788228,11.469503482664608
8,2564,american,-6.655099868774414,11.417770800747455,4.4074660961128105,15.37859667416075
9,421,space,-6.670000076293945,10.864262957966895,3.9491721495118552,12.940404528463892
10,4192,director,-6.6793999671936035,12.001072777285016,4.087344948982977,16.536477948831326
11,713,true,-6.7042999267578125,9.665826940156402,4.649800960655688,12.096554073558753
12,3116,performance,-6.72189998626709,11.962548187991327,4.125737277963725,16.744922537223932
13,4,acoustic,-6.77810001373291,10.477544326371683,3.9632489249927176,12.520034905254255
14,152,need,-6.846399784088135,11.129676364461014,4.086570790783238,14.623680252911322
15,1868,different,-6.847300052642822,10.279046513854787,4.219072191150035,11.651406459276584
16,454,version,-6.861700057983398,10.391673782199392,4.775927852065051,12.849791313102289
17,214,smith,-6.8719000816345215,9.143448197590875,3.9828623384516706,9.931103943171042
18,1989,noise,-6.895100116729736,11.024117662384509,4.012688509256181,13.282318339173145
19,1207,going,-6.903500080108643,10.091904536407903,4.075269514485096,13.106691038739669
20,368,material,-6.9096999168396,10.89207702194079,4.555784255125366,13.637296139651195
21,929,character,-6.9243998527526855,11.978708412471484,4.103301586927489,16.51251231527108
22,552,final,-6.930200099945068,9.411233124615721,4.088691188860074,10.30299062444249
23,2438,blue,-6.931099891662598,10.959739989462193,4.388796408874168,14.174946998810281
24,315,decade,-6.932700157165527,10.607833964184708,4.553548167237772,11.949891206545633
25,1308,recent,-6.934700012207031,10.336288904954255,4.356554834886275,11.13844926978476
26,2702,dark,-6.946100234985352,10.66514726171944,4.183865202837321,14.326686646074704
27,2905,offer,-6.946800231933594,10.260931886212049,4.565049874755433,13.437499500545098
28,1216,heart,-6.947999954223633,11.256353257827046,4.373196507390763,15.038764457259159
29,639,playing,-6.95389986038208,10.417520858736463,4.165958283152806,12.213231334919856
30,2275,riff,-6.962900161743164,10.659302492709037,3.8829160898688193,11.697120322555312
31,20460,scorsese,-6.967400074005127,-3.4078050787912013,-2.2566485819046687,-3.670815095457312
